FID,OBJECTID,WWD_NO,PWSID,PWS_NAME,SRC_DELIN,ZONE,PERIM_FT,ACRES,HECTARES,MILES_SQ,LAST_UPDAT,LOAD_DATE,STATUS,UPDATED_BY,Shapearea,Shapelen
53,90,0191,0870298,MT STERLING WATER WORKS,SMALL RESERVOIR,3,300138.030463,78327.8648097,31698.1622758,122.38728878,2019-02-07T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,3411948143.51791,300138.030278541,,
54,379,1312,0480125,EVARTS MUNICIPAL WATER PLANT,STREAM,3,303250.788,53989.44,21849.526,84.332,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,2351456446.49458,303250.78615434,,
55,202,0553,0722877,KUTTAWA WATER DEPARTMENT,LARGE RESERVOIR,3,306688.21,44671.082,18078.387,69.776,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1945604614.52787,306688.21047449,,
56,266,0748,0910675,WESTERN FLEMING WATER DISTRICT,STREAM,3,313205.773,81006.694,32783.409,126.532,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,3528166122.19831,313205.773647247,,
57,429,9004,0133183,HIGHLAND TURNER ELE SCH,STREAM,3,314456.592,63887.814,25855.398,99.793,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,INACTIVE,DOW 2019,2782570269.04155,314456.595253074,,
58,0,1657, 0580340,PAINTSVILLE MUNICIPAL WATER WORKS,SMALL RESERVOIR,3,316650.863532,59855.6032331,24222.7032361,93.52438006,2019-01-14T00:00:00.000Z,1899-12-30T00:00:00.000Z,ACTIVE,DOW 2019,2607299652.44055,316650.863964354,,
59,289,0803,0700162,GRAND RIVERS WATER SYSTEM,LARGE RESERVOIR,3,332418.98,74504.113,30151.815,116.375,2019-01-23T00:00:00.000Z,2004-09-27T00:00:00.000Z,INACTIVE,DOW 2019,3244952662.81004,332418.980152776,,
60,118,0242,0480178,HARLAN MUNICIPAL WATER WORKS,STREAM,3,332431.94,45290.515,18329.072,70.744,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1972583425.50298,332431.938037476,,
61,219,0634,1180471,WILLIAMSBURG WATER DEPARTMENT,STREAM,3,333668.281,81694.838,33061.901,127.607,2019-01-16T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,3558137541.40093,333668.281691395,,
62,210,0625,0960126,FALMOUTH WATER DEPARTMENT,STREAM,3,335729.514,72861.043,29486.864,113.809,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,3173390350.10781,335729.51327945,,
63,109,0229,0030239,LAWRENCEBURG WATER/SEWER DEPT,STREAM,3,340391.474,97290.312,39373.389,151.967,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,4237382935.23562,340391.47562252,,
64,256,0715,0450169,GREENUP WATER SYSTEM,STREAM,3,340895.640261,83256.5030777,33692.7114186,130.08828608,2019-01-10T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,3626638767.40156,340895.640727978,,
