__OBJECTID,PUBLIC WATER SYSTEM ID,Water System Name,Status,Principal County Served,Primary Source Water Type,Longitude,Latitude,attribute_7,Note,attribute_9,x,y
162,KY0450132,FLATWOODS WATER COMPANY,A,GREENUP,SWP,-82.72461,38.515,,,,-82.7246099885721,38.5149999719224
163,KY0450169,GREENUP WATER SYSTEM,A,GREENUP,SW,-82.831671,38.574299,,,,-82.8316710244704,38.5742990149532
164,KY0450365,RACELAND WATER SYSTEM,A,GREENUP,SWP,-82.729864,38.54133,,,,-82.7298639651743,38.5413299811159
165,KY0450376,RUSSELL WATER COMPANY,A,GREENUP,SW,-82.696084,38.5324,,,,-82.6960839867249,38.5323999726809
166,KY0450478,WORTHINGTON MUNICIPAL WATER WORKS,A,GREENUP,SWP,-82.724178,38.55043,,,,-82.724177988752,38.5504300190187
167,KY0450479,WURTLAND WATER DEPARTMENT,A,GREENUP,SWP,-82.77979,38.550378,,,,-82.779789993046,38.5503780313068
168,KY0462387,DOMTAR PAPER BLEACHED PULP,A,HANCOCK,GW,-86.751996,37.903278,,,,-86.7519959998194,37.9032779699242
169,KY0462386,DOMTAR PAPER CORRUGATED ME,A,HANCOCK,GW,-86.751996,37.903278,,,,-86.7519959998194,37.9032779699242
170,KY0460182,HAWESVILLE WATER WORKS,A,HANCOCK,GW,-86.747904,37.9020749,,,,-86.7479039940372,37.9020748888622
171,KY0460248,LEWISPORT MUNICIPAL WATER WORKS,A,HANCOCK,GW,-86.899371,37.936805,,,,-86.8993710002177,37.9368049909105
172,KY0470455,CITY OF WEST POINT,A,HARDIN,SWP,-85.935914,37.848415,,,,-85.9359140239441,37.848414983491
173,KY0470990,HARDIN COUNTY WATER DIST #1/FT. KNOX,A,HARDIN,SW,-85.949272,37.809036,,,,-85.949271972219,37.8090360191899
174,KY0470393,HARDIN COUNTY WATER DISTRICT #1,A,HARDIN,SW,-85.949272,37.809036,,,,-85.949271972219,37.8090360191899
175,KY0470175,HARDIN COUNTY WATER DISTRICT #2,A,HARDIN,SW,-85.914377,37.691473,,,,-85.9143770048389,37.6914729919616
176,KY0470440,VINE GROVE WATER DEPARTMENT,A,HARDIN,SWP,-85.98453,37.809683,,,,-85.9845300386369,37.8096829984603
177,KY0480028,BENHAM WATER PLANT,A,HARLAN,SW,-82.954661,36.961143,,,,-82.9546609869867,36.9611430313872
